1,Naroda S. T. Workshop,23.0642697,72.6412547
2,Dhanus Dhari Mandir,23.059817,72.6403651
3,Krishnanagar,23.0538533,72.6412726
4,Vijay Park,23.051455,72.6412091
5,Hirawadi,23.0456452,72.640533
6,Thakkar Nagar Approach,23.0413413,72.6402739
7,Lilanagar,23.03724,72.6398149
8,Bapu Nagar Approach,23.0324414,72.6388862
9,Viratnagar,23.028364,72.6389126
10,Soni ni chali,23.0206933,72.6380236
11,Geeta Gauri Cinema,23.01732,72.6374156
12,Rameshwar Park,23.0132204,72.6377667
13,Ram Rajya Nagar,23.0079862,72.6373921
14,Rabari Colony,23.0044017,72.6359452
15,Jogeshwari Society,23.000486,72.6347704
16,Purvdeep Society,22.9959085,72.6331677
17,CTM Cross Road,22.9915924,72.6316459
18,Express Highway Junction,23.0182647,72.5530951
19,Jashodanagar Char Rasta,22.9838528,72.6214001
20,Ghodasar,22.9786829,72.6075398
21,Isanpur,22.9762188,72.5997748
22,Mukesh Industries,22.9740123,72.5926902
23,narol,22.9729729,72.5846005
24,Odhav Talav,23.0245023,72.6627271
25,Morlidhar Society,23.0246285,72.6592107
26,Chhotalal ni Chali,23.0235235,72.6561457
27,Vallabh Nagar,23.022949,72.6522757
28,Odhav Fire Station,23.0492335,72.5559743
29,Grid Station,23.0213,72.6409997
30,DCIS Circle,23.129273,72.5819126
31,Sarthi Bunglows,23.1229731,72.5778669
32,Chandkheda Gam,23.1165397,72.5819121
33,Shiv Shaktinagar,23.1125755,72.5838263
34,Jantangar,23.1097894,72.5844511
35,ONGC Avani Bhavan,23.0751484,72.5343355
36,Vishvkarma Engineering,23.1058858,72.5929558
37,Visat – Gandhinagar Juncton,23.0974089,72.5859741
38,Motera Cross Road,23.0922298,72.5874837
39,Sabarmati Police Station,23.0861116,72.5919437
40,Sabarmati Municiple Swimming Pool,23.0815749,72.5907851
41,Rathi Apartment,23.0792364,72.5947427
42,Savarmati Power House,23.0736327,72.592172
43,R.T.O. Circle,23.0686563,72.581138
44,Ranip Cross Road,23.0675323,72.5749533
45,N R Patel Park,23.0665475,72.5714796
46,Ramapir No Tekro,23.061705,72.5718466
47,Juna Vadaj,23.0416688,72.5851244
48,Gurudwara,23.0476275,72.5779406
49,Hanumanpura,23.0449717,72.5787598
50,Sarkari Litho Press,23.0417749,72.5826251
51,Sarkari Litho Press Cabin,23.0394466,72.58619
52,Delhi Darwaja,23.0381455,72.5900518
53,Prem Darwaja,23.0341211,72.5962474
54,Kalupur Ghee Bazar,23.0311294,72.5970521
55,Kalupur,23.0281333,72.5974933
56,Sarangpur Darwaja,23.0217549,72.5964651
57,Karnamukteshwar Mahadev,23.0190749,72.5940491
58,Raipur Darwaja,23.0174141,72.5933785
59,Astodiya Darwaja,23.0168585,72.5896383
60,Geeta Mandir,23.0131047,72.5865086
61,Bhulabhai Park,23.0066929,72.5862481
62,Managal Park,23.0035763,72.5850253
63,Swaminarayan College,23.0007091,72.5723431
64,Vaikunth Dham Mandir,23.0006848,72.580068
65,Danilimda Road,22.9944244,72.575933
66,Chhipa Society,22.9897849,72.5760195
67,Chandola Lake,22.9872606,72.5824333
68,BRTS Workshop,22.9821729,72.5808051
69,Kashiram Textiles,22.9768249,72.5841651
70,Bhavsar Hostel,23.0676249,72.5660351
71,Akhbarnagar,23.067484,72.5583779
72,Pragatinagar,23.0646649,72.5511891
73,Shastrinagar,23.0622449,72.5504051
74,Jaimangal,23.0576179,72.5467631
75,Sola Cross Road,23.0527202,72.5419964
76,Shree Valinath Chowk,23.04912,72.5424251
77,Memnagar,23.0456096,72.5398606
78,University,23.0384082,72.5353596
79,Andhjan Mandal,23.0346443,72.5311408
80,Himmatlal Park,23.0300596,72.5300452
81,Shivranjani,23.0245279,72.5280903
82,Jhansi ki Rani,23.0230449,72.5337751
83,Nehrunagar,23.0229943,72.5331544
84,L Colony,23.0235749,72.5380091
85,Ranjrapole Char Rasta,23.0264029,72.5415681
86,Gulabai Tekra Approach,23.0294049,72.5446151
87,LD Engg. College,23.0349669,72.5462891
