1,1,1,7:30
2,2,1,11:30
3,3,1,15:30
4,4,2,7:30
5,5,2,11:30
6,6,2,15:30
7,7,3,8:00
8,8,3,10:00
9,9,3,14:00
10,10,4,9:00
11,11,4,11:00
12,12,4,18:00
13,13,5,8:00
14,14,5,10:00
15,15,5,14:00
16,16,6,9:00
17,17,6,11:00
18,18,6,18:00
19,19,7,8:00
20,20,7,12:00
21,21,7,16:00
22,22,8,8:00
23,23,8,12:00
24,24,8,16:00
25,25,9,10:00
26,26,9,15:00
27,27,9,18:00
28,28,10,10:00
29,29,10,15:00
30,30,10,18:00
31,31,11,6:30
32,32,11,10:30
33,33,11,13:00
34,34,12,7:30
35,35,12,11:30
36,36,12,14:00
37,37,13,6:30
38,38,13,10:30
39,39,13,13:00
40,40,14,7:30
41,41,14,11:30
42,42,14,14:00
