10,1,1
10,2,2
10,3,3
10,4,4
10,5,5
10,6,6
10,7,7
10,8,8
10,9,9
10,10,10
10,11,11
10,12,12
10,13,13
10,14,14
10,15,15
10,16,16
10,17,17
10,18,18
10,19,19
10,20,20
10,21,21
10,22,22
10,23,23
9,23,1
9,22,2
9,21,3
9,20,4
9,19,5
9,18,6
9,17,7
9,16,8
9,15,9
9,14,10
9,13,11
9,12,12
9,11,13
9,10,14
9,9,15
9,8,16
9,7,17
9,6,18
9,5,19
9,4,20
9,3,21
9,2,22
9,1,23
11,11,1
11,10,2
11,9,3
11,8,4
11,7,5
11,6,6
11,5,7
11,4,8
11,3,9
11,2,10
11,1,11
1,30,1
1,31,2
1,32,3
1,33,4
1,34,5
1,35,6
1,36,7
1,37,8
1,38,9
1,39,10
1,40,11
1,41,12
1,42,13
1,43,14
1,44,15
1,45,16
1,46,17
1,47,18
1,48,19
1,49,20
1,50,21
1,51,22
1,52,23
1,53,24
1,54,25
1,55,26
1,56,27
1,57,28
1,58,29
1,59,30
1,60,31
1,61,32
1,62,33
1,63,34
1,64,35
1,65,36
1,66,37
1,67,38
1,68,39
1,69,40
1,23,41
2,23,1
2,69,2
2,68,3
2,67,4
2,66,5
2,65,6
2,64,7
2,63,8
2,62,9
2,61,10
2,60,11
2,59,12
2,58,13
2,57,14
2,56,15
2,55,16
2,54,17
2,53,18
2,52,19
2,51,20
2,50,21
2,49,22
2,48,23
2,47,24
2,46,25
2,45,26
2,44,27
2,43,28
2,42,29
2,41,30
2,40,31
2,39,32
2,38,33
2,37,34
2,36,35
2,35,36
2,34,37
2,33,38
2,32,39
2,31,40
2,30,41
3,12,1
3,13,2
3,14,3
3,15,4
3,16,5
3,17,6
3,18,7
3,19,8
3,20,9
3,21,10
3,22,11
3,23,12
5,23,1
5,22,2
5,21,3
5,20,4
5,19,5
5,18,6
5,17,7
5,16,8
5,15,9
5,14,10
5,13,11
5,12,12
4,24,1
4,25,2
4,26,3
4,27,4
4,28,5
4,29,6
4,11,7
4,12,8
4,13,9
4,14,10
4,15,11
4,16,12
4,17,13
4,18,14
4,19,15
4,20,16
4,21,17
4,22,18
4,23,19
6,23,1
6,22,2
6,21,3
6,20,4
6,19,5
6,18,6
6,17,7
6,16,8
6,15,9
6,14,10
6,13,11
6,12,12
6,11,13
6,29,14
6,28,15
6,27,16
6,26,17
6,25,18
6,24,19
7,30,1
7,31,2
7,32,3
7,33,4
7,34,5
7,35,6
7,37,7
7,38,8
7,39,9
7,40,10
7,41,11
7,42,12
7,43,13
7,44,14
7,70,15
7,71,16
7,72,17
7,73,18
7,74,19
7,75,20
7,76,21
7,77,22
7,78,23
7,79,24
7,80,25
7,81,26
7,82,27
7,83,28
7,84,29
7,85,30
7,86,31
7,87,32
8,87,1
8,86,2
8,85,3
8,84,4
8,83,5
8,82,6
8,81,7
8,80,8
8,79,9
8,78,10
8,77,11
8,76,12
8,75,13
8,74,14
8,73,15
8,72,16
8,71,17
8,70,18
8,44,19
8,43,20
8,42,21
8,41,22
8,40,23
8,39,24
8,38,25
8,37,26
8,35,27
8,34,28
8,33,29
8,32,30
8,31,31
8,30,32
